company,state,city,chips_type,announced_amount_b,finalized_amount_b,status,date_proposed,date_finalized,expected_completion,notes
Intel,"OH/AZ/OR/NM","Columbus/Chandler/Hillsboro/Rio Rancho",logic,8.5,7.865,renegotiating,2023-12-11,2024-11-26,2027,"Modified Aug 2025 — $5.7B disbursed so far. Trump admin renegotiating remainder. Separate $3B DoD Secure Enclave award."
TSMC,AZ,Phoenix,logic,6.6,6.6,finalized,2024-04-08,2024-11-15,2025,"First fab certified complete June 2025. 2nd fab delayed to 2027. 3rd fab (2nm) starts 2028. $165B total AZ investment."
Samsung,TX,Taylor,logic,6.4,4.745,finalized,2024-04-15,2024-12-20,2030,"Advanced manufacturing and R&D in central Texas. Taylor TX is 30 min from Austin."
Micron,"ID/NY","Boise/Clay",memory,6.165,6.165,finalized,2023-10-04,2024-11-25,2030,"Leading-edge memory. Largest US memory investment in history."
GlobalFoundries,"NY/VT","Malta/Burlington",mature_node,1.575,1.575,finalized,2023-10-17,2024-11-20,2028,"Original $1.5B + $75M amendment Jan 2025 for advanced packaging. 3 projects across 2 states."
Texas Instruments,"TX/UT","Sherman/Lehi",analog,1.61,1.61,finalized,2024-07-23,2024-12-20,2030,"3 new facilities. Sherman TX greenfield 300mm — one of only US sites at this scale."
BAE Systems,NH,Nashua,defense,0.035,0.035,finalized,2023-12-11,2024-11-25,2026,"Modernize Microelectronics Center. Mature node chips for F-35 ($1.7T program)."
Rocket Lab,NM,Albuquerque,compound,0.024,0.024,finalized,2024-06-01,2024-11-25,2026,"Compound semiconductors for space and defense."
GlobalWafers,TX,Sherman,materials,0.406,0.406,finalized,2024-01-17,2024-11-22,2028,"Semiconductor wafer manufacturing in Sherman TX. Raw materials layer."
Hemlock Semiconductor,MI,Hemlock,materials,0.325,0.325,finalized,2024-10-21,2025-01-07,2027,"Hyper-pure semiconductor-grade polysilicon. Critical upstream material."
Amkor,AZ,Peoria,packaging,0.407,0.407,finalized,2024-11-13,2024-12-20,2028,"Greenfield advanced packaging and test. $2B total investment."
Absolics,GA,Covington,packaging,0.075,0.075,finalized,2024-08-01,2024-12-05,2027,"Glass substrate technology for advanced packaging. SKC affiliate."
Entegris,CO,Colorado Springs,materials,0.077,0.077,finalized,2024-07-19,2024-12-05,2025,"Liquid filtration and FOUPs. Already in initial operations."
SRC / SMART USA,NC,Durham,rd,0.285,0.285,finalized,2024-09-01,2025-01-03,2030,"Digital twins institute for semiconductor design and manufacturing."
Corning,NY,"Painted Post",materials,0.032,0.032,finalized,2024-11-08,2025-01-17,2026,"Specialty glass components for lithography supply chain."
Edwards Vacuum,PA,Sanborn,equipment,0.018,0.018,finalized,2024-10-10,2025-01-17,2026,"Vacuum and abatement equipment for fabs."
Infinera,"CA/PA","San Jose/Bethlehem",compound,0.093,0.093,finalized,2024-10-17,2025-01-17,2026,"Advanced packaging for InP photonic ICs. Defense and AI. 500 jobs expected."
HP,OR,Corvallis,compound,0.053,0.053,finalized,2024-08-27,2025-01-13,2026,"Microfluidics and MEMS. Lab-to-fab ecosystem in Oregon."
Korea Zinc / Crucible,TBD,TBD,materials,0.21,0.21,finalized,2024-09-01,2025-01-01,2028,"GaN and GaAs compound semiconductors."
Polar Semiconductor,MN,Bloomington,mature_node,0.123,0.123,finalized,2024-09-01,2024-09-24,2026,"First manufacturing award issued Sept 2024. Power semiconductors."
Powerex,PA,Youngwood,defense,0.015,0.015,finalized,2024-11-08,2025-01-17,2026,"Power modules — over 50% dedicated to military applications."
Wolfspeed,"NC/NY","Siler City/Marcy",compound,0.75,0.0,proposed,2024-10-15,,2029,"Silicon carbide wafer fab NC + device fab NY. 200mm SiC capacity."
Analog Devices,"MA/OR/WA","Wilmington/Various",mature_node,0.5,0.0,proposed,2024-12-13,,2028,"Expand mature node 70%. 180nm and 350nm for defense and commercial."
Bosch,SC,Roseville,automotive,0.225,0.0,proposed,2024-12-06,,2028,"Silicon carbide power semiconductors for automotive. $1.9B total."
Macom,NH,Lowell,compound,0.095,0.0,proposed,2025-01-14,,2027,"GaN and GaAs for defense and commercial systems."
