source_id,publisher,title,url,publication_date,accessed_date,reliability_tier,tier_label,used_in_dataset,used_for,notes
SRC001,UN Comtrade / CEPII,BACI International Trade Database HS17 V202401,http://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele_item.asp?id=37,2024-01-01,2026-03-24,1,PRIMARY,trade_flow_data,"Global semiconductor trade flows by country. HS codes 8541 and 8542.","Bilateral trade data for 200+ countries 1995-2024. BACI reconciles exporter/importer discrepancies from UN Comtrade raw data. Free download with registration."
SRC002,Yahoo Finance / SEC Filings,yfinance Python Library — Public Company Financials,https://pypi.org/project/yfinance/,2024-12-31,2026-03-24,1,PRIMARY,company_financials,"Annual revenue, capex, R&D spend for AMAT/ASML/LRCX/KLAC/UCTT/TSM/INTC/MU/NVDA","Data sourced directly from SEC-reported financials via Yahoo Finance API. Annual cadence. Tickers: AMAT, ASML, LRCX, KLAC, UCTT, TSM, INTC, 005930.KS, MU, NVDA."
SRC003,Kaggle / girumwondemagegn,Semiconductor Companies of the World by Market Cap,https://www.kaggle.com/datasets/girumwondemagegn/semiconductor-companies-of-the-world-by-market-cap,2024-01-01,2026-03-24,2,SECONDARY,semiconductor_companies_of_the_world_kaggle,"Company name, country HQ, market cap, sector for dimension table.","Used as dim_company table in Snowflake. Verify key company entries against current market data before publishing."
SRC004,Kaggle / appetukhov,International Trade Database,https://www.kaggle.com/datasets/appetukhov/international-trade-database,2024-01-01,2026-03-24,2,SECONDARY,international_trade_database_kaggle,"Backup trade flow dataset if BACI processing encounters issues.","Sourced from UN Comtrade. Use as validation layer against BACI primary source."
SRC005,Semiconductor Industry Association (SIA),CHIPS Incentives Awards Tracker,https://www.semiconductors.org/chips-incentives-awards/,2025-09-02,2026-03-24,1,PRIMARY,chips_act_awards_manual,"Company names, award amounts, states, status for all CHIPS Act awards.","Official SIA tracker. Most authoritative public source for CHIPS award status."
SRC006,U.S. GAO,GAO-26-107882: Semiconductors — Information on Projects Funded to Strengthen U.S. Supply Chain,https://www.gao.gov/products/gao-26-107882,2025-12-11,2026-03-24,1,PRIMARY,chips_act_awards_manual,"Award amounts, milestone counts, completion timelines as of July 2025.","GAO independent audit. Covers 40 projects across 19 companies. Published Dec 11 2025."
SRC007,Manufacturing Dive,Tracking CHIPS and Science Act Awards,https://www.manufacturingdive.com/news/chips-and-science-act-tracker-semiconductor-manufacturing/734039/,2025-09-02,2026-03-24,2,SECONDARY,chips_act_awards_manual,"Award dates, proposed vs finalized status, renegotiation flags.","Includes Trump administration renegotiation context. Updated Sept 2 2025. Cross-referenced with SRC005."
SRC008,NIST / CHIPS for America,CHIPS Incentives Awards Press Releases,https://www.nist.gov/chips,2025-09-30,2026-03-24,1,PRIMARY,chips_act_awards_manual,"Individual award finalization dates and exact amounts.","Official Commerce Dept press releases. Used to verify date_finalized for each award row."
SRC009,U.S. International Trade Commission (USITC),Executive Briefing: Germanium and Gallium — U.S. Trade and Chinese Export Controls,https://www.usitc.gov/publications/332/executive_briefings/ebot_germanium_and_gallium.pdf,2023-12-18,2026-03-24,1,PRIMARY,blockade_scenario_model,"China share of US gallium supply (95%). Gallium price increases post-July 2023 controls (+68%).","Government analysis. Cites USGS critical minerals list. Price data from Reuters/Strategic Metals Invest."
SRC010,Stimson Center,China's Germanium and Gallium Export Restrictions: Consequences for the United States,https://www.stimson.org/2025/chinas-germanium-and-gallium-export-restrictions-consequences-for-the-united-states/,2025-04-04,2026-03-24,2,SECONDARY,blockade_scenario_model,"Export volume data 2023-2024. China exports of germanium to US dropped to zero in 2024.","Cites China General Administration of Customs data. Reputable think tank. Published April 2025."
SRC011,Associated Press / Elaine Kurtenbach,China bans exports to US of gallium germanium antimony,https://apnews.com/article/china-us-tech-semiconductor-chip-gallium-6b4216551e200fb719caa6a6cc67e2a4,2024-12-03,2026-03-24,1,PRIMARY,blockade_scenario_model,"December 3 2024 outright ban on gallium/germanium/antimony exports to US.","Direct news report of policy announcement. AP wire — primary news source."
SRC012,Peterson Institute for International Economics (PIIE),China's export controls on critical minerals aren't starving the United States — at least so far,https://www.piie.com/blogs/realtime-economics/2024/chinas-export-controls-critical-minerals-arent-starving-united-states,2024-10-31,2026-03-24,2,SECONDARY,blockade_scenario_model,"US import share data for gallium arsenide wafers. GaAs wafer imports from China fell to near-zero post-July 2023.","Reputable economics think tank. Uses US Customs data. Nuanced — argues impact less than feared as of Oct 2024."
SRC013,European Commission,Critical Raw Materials Report — China share of gallium (94%) and germanium (83%) global supply,https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials_en,2023-01-01,2026-03-24,1,PRIMARY,blockade_scenario_model,"China produces 94% of global gallium and 83% of global germanium.","EU government source. Widely cited by USITC and other government bodies."
SRC014,Moody's Analytics,Twenty-five years of building resilience in Taiwan: Looking back at the 1999 Chi-Chi earthquake,https://www.moodys.com/web/en/us/insights/insurance/twenty-five-years-of-building-resilience-in-taiwan-looking-back-at-the-1999-chi-chi-earthquake.html,2025-08-26,2026-03-24,2,SECONDARY,blockade_scenario_model,"1935 Mw7.1 earthquake epicenter 20km from Hsinchu. 1999 Chi-Chi caused $400M semiconductor losses. 15+ Mw6.0+ events since 1999.","Moody's insurance risk analysis. Cites USGS and internal seismic data. Published Aug 2025."
SRC015,TrendForce,7.0 Quake Hits: TSMC Nears Full Production Sector Losses Reportedly Tens of Billions NTD,https://www.trendforce.com/news/2025/12/29/news-magnitude-7-0-quake-hits-taiwan-tsmc-nears-full-production-sector-losses-reportedly-tens-of-billions-ntd,2025-12-29,2026-03-24,2,SECONDARY,blockade_scenario_model,"Dec 27 2025 Mw7.0 quake details. Hsinchu intensity level 4. Quartz furnace tube damage. 3-5 day recovery minimum.","TrendForce is semiconductor industry research firm. Cites Liberty Times and Commercial Times Taiwanese media."
SRC016,WCCFTech citing TSMC quarterly filings,TSMC earthquake losses — April 2024 ($92.4M) and Q1 2025 ($162M),https://wccftech.com/taiwan-hit-by-one-of-its-strongest-earthquakes-yet-tsmc-chip-operations-remain-unfazed/,2025-12-28,2026-03-24,2,SECONDARY,blockade_scenario_model,"TSMC earthquake-related losses: $92.4M in April 2024 and $162M in Q1 2025.","Cites TSMC quarterly filings as primary source. Verify directly against TSMC 20-F filings on SEC EDGAR."
SRC017,ISW / American Enterprise Institute,China & Taiwan Update March 20 2026,https://www.aei.org/articles/china-taiwan-update-march-20-2026/,2026-03-22,2026-03-24,2,SECONDARY,blockade_scenario_model,"PLA coast guard encirclement drills active. PLAAF activity patterns March 2026. Iran conflict context.","Joint ISW-AEI product. Weekly updates. Used for current_status_of_scenario column Scenario B."
SRC018,Japan Times,As China rehearses a blockade Taiwan's coast guard prepares to push back,https://www.japantimes.co.jp/news/2026/03/16/asia-pacific/politics/taiwan-coast-guard-china-blockade/,2026-03-16,2026-03-24,2,SECONDARY,blockade_scenario_model,"Taiwan deputy minister confirmed China practicing full blockade of ports. Kaohsiung and Keelung drills.","Used for Scenario B active status confirmation."
SRC019,TrendForce / Company Filings,TSMC advanced node market share >90% sub-7nm,https://www.trendforce.com,2024-12-31,2026-03-24,2,SECONDARY,blockade_scenario_model,"TSMC controls >90% of global advanced node (sub-7nm) production.","Industry consensus figure. Widely cited. Verify against TSMC annual report and TrendForce Q4 2024 foundry report."
SRC020,U.S. Department of Energy,Critical Materials Report — US 100% reliant on imported germanium,https://www.energy.gov/sites/default/files/2021-01/DOE-Critical-Materials-Report-PDF.pdf,2021-01-01,2026-03-24,1,PRIMARY,blockade_scenario_model,"United States does not have sufficient domestic resources for germanium and gallium.","Official US government assessment. Still accurate as of 2026 — no domestic refining capacity built since publication."
